Date,Total Pembayaran,total_qty,Is_Cancelled
2023-12-01,380269,19,0.16666666666666666
2023-12-02,538330,18,0.14285714285714285
2023-12-03,1818819,17,0.15384615384615385
2023-12-04,844485,59,0.23076923076923078
2023-12-05,780644,87,0.2916666666666667
2023-12-06,1555317,49,0.3181818181818182
2023-12-07,588878,30,0.0
2023-12-08,663917,45,0.2857142857142857
2023-12-09,651224,48,0.2777777777777778
2023-12-10,279877,16,0.18181818181818182
2023-12-11,1462309,31,0.0
2023-12-12,1946802,127,0.15789473684210525
2023-12-13,603976,42,0.21428571428571427
2023-12-14,781052,37,0.3333333333333333
2023-12-15,837141,39,0.2857142857142857
2023-12-16,776950,31,0.2
2023-12-17,1476903,33,0.14285714285714285
2023-12-18,876993,14,0.0
2023-12-19,622562,32,0.21428571428571427
2023-12-20,307508,11,0.125
2023-12-21,282425,26,0.0
2023-12-22,426140,38,0.2222222222222222
2023-12-23,374166,25,0.25
2023-12-24,395720,15,0.2222222222222222
2023-12-25,524302,22,0.18181818181818182
2023-12-26,359971,35,0.35714285714285715
2023-12-27,1659680,10,0.0
2023-12-28,331306,31,0.46153846153846156
2023-12-29,1258669,94,0.125
2023-12-30,316222,20,0.3333333333333333
2023-12-31,127568,12,0.5
2024-01-01,2057207,101,0.1320754716981132
2024-01-02,1236547,145,0.15384615384615385
2024-01-03,2328868,334,0.21052631578947367
2024-01-04,2017929,93,0.125
2024-01-05,338158,21,0.08333333333333333
2024-01-06,402099,34,0.3076923076923077
2024-01-07,914841,31,0.2
2024-01-08,899285,32,0.23076923076923078
2024-01-09,502481,30,0.09090909090909091
2024-01-10,781036,68,0.16666666666666666
2024-01-11,787934,27,0.0
2024-01-12,587436,19,0.07692307692307693
2024-01-13,227774,17,0.25
2024-01-14,378582,18,0.07692307692307693
2024-01-15,719588,65,0.18181818181818182
2024-01-16,2199497,49,0.0
2024-01-17,738053,38,0.125
2024-01-18,340345,17,0.18181818181818182
2024-01-19,391992,18,0.16666666666666666
2024-01-20,289441,11,0.125
2024-01-21,505013,36,0.2
2024-01-22,159062,7,0.16666666666666666
2024-01-23,637037,30,0.1
2024-01-24,152720,9,0.2857142857142857
2024-01-25,736612,49,0.18518518518518517
2024-01-26,928574,32,0.23076923076923078
2024-01-27,949517,32,0.21052631578947367
2024-01-28,652299,32,0.2
2024-01-29,721913,29,0.07692307692307693
2024-01-30,258132,9,0.0
2024-01-31,652509,30,0.0
2024-02-01,263744,16,0.36363636363636365
2024-02-02,1905417,106,0.08333333333333333
2024-02-03,597997,24,0.08333333333333333
2024-02-04,542361,26,0.0
2024-02-05,1029040,17,0.2727272727272727
2024-02-06,423716,18,0.1111111111111111
2024-02-07,155182,7,0.16666666666666666
2024-02-08,279062,17,0.2857142857142857
2024-02-09,293852,24,0.2222222222222222
2024-02-10,592112,39,0.25
2024-02-11,250312,9,0.0
2024-02-12,442296,16,0.25
2024-02-13,422206,15,0.3333333333333333
2024-02-14,455000,22,0.125
2024-02-15,418716,14,0.25
2024-02-16,261285,12,0.1111111111111111
2024-02-17,529241,23,0.2727272727272727
2024-02-18,761574,33,0.21428571428571427
2024-02-19,1915785,155,0.0
2024-02-20,414493,21,0.3333333333333333
2024-02-21,665211,31,0.0
2024-02-22,1049160,43,0.13043478260869565
2024-02-23,670052,16,0.0
2024-02-24,270368,10,0.25
2024-02-25,1566631,76,0.058823529411764705
2024-02-26,573136,23,0.16666666666666666
2024-02-27,2997437,52,0.2
2024-02-28,782033,73,0.3076923076923077
2024-02-29,613957,24,0.23076923076923078
2024-03-01,286377,19,0.2857142857142857
2024-03-02,117952,6,0.25
2024-03-03,2019339,128,0.08928571428571429
2024-03-04,2184049,28,0.0
2024-03-05,696014,277,0.3076923076923077
2024-03-06,961647,172,0.15384615384615385
2024-03-07,455780,22,0.2
2024-03-08,792168,29,0.06666666666666667
2024-03-09,438375,36,0.16666666666666666
2024-03-10,607684,42,0.2
2024-03-11,2430213,98,0.19047619047619047
2024-03-12,1834926,93,0.12
2024-03-13,528689,19,0.1
2024-03-14,829153,72,0.06666666666666667
2024-03-15,564572,30,0.15384615384615385
2024-03-16,559503,36,0.09090909090909091
2024-03-17,1154235,70,0.0
2024-03-18,567931,71,0.2
2024-03-19,443480,13,0.1
2024-03-20,1541964,146,0.23076923076923078
2024-03-21,368132,125,0.2857142857142857
2024-03-22,821042,116,0.0
2024-03-23,945543,65,0.0
2024-03-24,1456908,26,0.18181818181818182
2024-03-25,2342404,576,0.2
2024-03-26,854145,74,0.2857142857142857
2024-03-27,2022081,73,0.07692307692307693
2024-03-28,921127,46,0.17647058823529413
2024-03-29,589188,36,0.15384615384615385
2024-03-30,409171,22,0.18181818181818182
2024-03-31,515942,28,0.09090909090909091
2024-04-01,1108960,82,0.25
2024-04-02,95500,7,0.0
2024-04-08,278779,12,0.5
2024-04-09,485037,22,0.21428571428571427
2024-04-10,190410,17,0.375
2024-04-11,354450,16,0.36363636363636365
2024-04-12,671137,78,0.26666666666666666
2024-04-13,738088,50,0.1875
2024-04-14,708211,33,0.047619047619047616
2024-04-15,2258404,86,0.04
2024-04-16,430449,27,0.23076923076923078
2024-04-17,2026362,132,0.10909090909090909
2024-04-18,1279906,61,0.13333333333333333
2024-04-19,1132015,64,0.10344827586206896
2024-04-20,1081184,64,0.2222222222222222
2024-04-21,745851,32,0.20833333333333334
2024-04-22,976839,75,0.21052631578947367
2024-04-23,269873,40,0.5294117647058824
2024-04-24,629238,26,0.29411764705882354
2024-04-25,1275389,75,0.17647058823529413
2024-04-26,660425,31,0.0
2024-04-27,1254817,139,0.16666666666666666
2024-04-28,385103,26,0.2
2024-04-29,1097911,62,0.058823529411764705
2024-04-30,1126324,51,0.1111111111111111
2024-05-01,629150,36,0.3
2024-05-02,1415565,81,0.0967741935483871
2024-05-03,1849233,44,0.09090909090909091
2024-05-04,1013629,43,0.13043478260869565
2024-05-05,3978360,87,0.1568627450980392
2024-05-06,1002362,49,0.18181818181818182
2024-05-07,611496,17,0.2857142857142857
2024-05-08,697630,30,0.13333333333333333
2024-05-09,1128243,48,0.16666666666666666
2024-05-10,257508,17,0.25
2024-05-11,586766,31,0.11764705882352941
2024-05-12,868047,40,0.05
2024-05-13,1043034,43,0.17647058823529413
2024-05-14,1371539,59,0.07142857142857142
2024-05-15,1127786,78,0.23529411764705882
2024-05-16,790782,35,0.2857142857142857
2024-05-17,317859,16,0.125
2024-05-18,795937,24,0.13333333333333333
2024-05-19,565215,36,0.4166666666666667
2024-05-20,773627,38,0.09090909090909091
2024-05-21,2447114,49,0.13043478260869565
2024-05-22,880595,22,0.09090909090909091
2024-05-23,881686,67,0.2222222222222222
2024-05-24,1143137,35,0.23076923076923078
2024-05-25,1533921,70,0.07692307692307693
2024-05-26,987614,40,0.08695652173913043
2024-05-27,987401,46,0.13636363636363635
2024-05-28,610323,27,0.125
