Metode_Pembayaran,payment_group,avg_payment,order_count,cancellation_rate
Alfamart/Alfamidi/Dan+Dan,Other,143631.38888888888,36,0.4722222222222222
BCA OneKlik,Other,38500.0,3,0.3333333333333333
COD (Bayar di Tempat),COD,35420.47321892876,11538,0.14872594903796152
Cicilan Kartu Kredit,Other,263234.6666666667,3,0.0
Indomaret/i.Saku,Other,101045.27906976744,43,0.4883720930232558
Kartu Kredit/Debit,Other,87356.0990990991,222,0.13063063063063063
Mitra Shopee,Other,0.0,1,1.0
Online Payment,Other,76887.10914826498,3170,0.1949526813880126
Pembayaran dibebaskan,Other,0.0,18,0.05555555555555555
SPayLater,Other,65560.10572390573,1485,0.15757575757575756
Saldo ShopeePay,Digital,64881.17795232936,3692,0.09479956663055254
SeaBank Bayar Instan,Digital,58910.634222919936,637,0.14442700156985872
