Opsi_Pengiriman,avg_payment,order_count,cancellation_rate,avg_shipping_cost
JNE Trucking (JTR),1591107.5,2,0.0,0.0
Instant (Versi Lama)-GoSend Instant (Versi Lama),558392.7272727273,22,0.045454545454545456,12636.363636363636
Instant (Versi Lama)-GrabExpress Instant (Versi Lama),500204.45454545453,11,0.18181818181818182,4363.636363636364
Kargo-J&T Cargo,484886.56666666665,150,0.06666666666666667,21574.113333333335
Hemat Kargo-J&T Cargo,406323.7638888889,72,0.125,9925.0
Kargo-JNE Trucking (JTR),379270.9157894737,190,0.09473684210526316,22531.178947368422
Hemat Kargo-JNE Trucking (JTR),331414.75,8,0.25,28387.5
JNE YES,299430.0,2,0.0,63000.0
Instant (Versi Lama)-SPX Instant (Versi Lama),184743.97619047618,336,0.13095238095238096,14535.714285714286
J&T Cargo,178722.29508196723,61,0.21311475409836064,7717.918032786885
Instant-SPX Instant,171397.45,40,0.125,5350.0
Gosend Instant,107063.0,1,0.0,8500.0
SPX Instant,105360.0,5,0.4,5540.0
Same Day-SPX Sameday,101311.28807947019,302,0.09933774834437085,11155.629139072847
SPX Instant Prioritas,93300.0,1,0.0,21400.0
Reguler (Cashless)-J&T Express,91869.89622641509,106,0.10377358490566038,18007.537735849055
Same Day-GoSend Same Day,90680.88,25,0.08,15680.0
SPX Instant (Versi Lama),87977.5,8,0.125,15417.0
SPX Sameday,81723.23809523809,21,0.14285714285714285,12837.857142857143
GrabExpress Instant,79318.33333333333,6,0.5,2916.6666666666665
Next Day-JNE YES,77305.07407407407,27,0.037037037037037035,23907.40740740741
Hemat Kargo-J&T Economy,76514.32571428572,175,0.21142857142857144,21652.0
GoSend Instant (Versi Lama),76203.9,10,0.1,10050.0
Instant Prioritas-SPX Instant Prioritas,65700.0,2,0.0,20000.0
GrabExpress Instant (Versi Lama),52535.125,8,0.25,1625.0
GoSend Same Day,51098.818181818184,11,0.18181818181818182,18818.18181818182
SPX Express Point,50203.15,20,0.1,7125.0
Reguler (Cashless)-JNE Reguler,46891.145348837206,344,0.040697674418604654,2756.0988372093025
J&T Express,46100.93548387097,31,0.12903225806451613,2125.8064516129034
SPX Standard,43946.083333333336,192,0.13541666666666666,4255.208333333333
Hemat Kargo-SPX Hemat,40471.06938159879,12597,0.12495038501230452,4337.061601968723
Agen SPX Express,38806.479166666664,96,0.21875,6182.291666666667
GrabExpress Sameday,37000.0,1,0.0,18000.0
Reguler (Cashless)-SPX Standard,33985.45067070532,4622,0.08610990913024665,818.1737343141497
SPX Hemat,30263.950276243093,543,0.13075506445672191,1670.1657458563536
JNE Reguler,27387.793103448275,29,0.06896551724137931,172.41379310344828
J&T Economy,17414.4,5,0.6,5600.0
Next Day,0.0,3,1.0,0.0
Kargo,0.0,48,1.0,0.0
Reguler (Cashless),0.0,190,1.0,0.0
Instant (Versi Lama),0.0,42,1.0,0.0
Instant,0.0,5,1.0,0.0
Hemat Kargo,0.0,460,1.0,0.0
Same Day,0.0,17,1.0,0.0
GoSend Instant Prioritas,0.0,1,1.0,0.0
